Epoch;Status;Reason;AvgHdgErr;MaxSpd;MaxAlt;Epsilon
155;[FAILED];Runway Excursion (10.0m);0.98;117.1;12;0.2880
156;[FAILED];Runway Excursion (10.2m);0.46;170.3;9;0.2726
157;[FAILED];Timeout;2.50;217.6;180;0.2512
158;[FAILED];Timeout;4.94;139.3;1192;0.2315
159;[FAILED];Runway Excursion (10.0m);1.42;86.9;9;0.2246
160;[FAILED];Stagnation (No speed increase);0.95;160.3;9;0.2125
161;[FAILED];Runway Excursion (10.0m);3.87;49.6;9;0.2083
162;[FAILED];Runway Excursion (10.1m);2.65;66.8;9;0.2034
163;[FAILED];Runway Excursion (10.3m);4.06;45.1;9;0.1995
164;[FAILED];Runway Excursion (10.1m);3.60;51.5;9;0.1955
165;[FAILED];Runway Excursion (10.0m);2.44;71.1;9;0.1908
166;[FAILED];Runway Excursion (10.0m);2.05;65.9;9;0.1860
167;[FAILED];Runway Excursion (10.1m);0.93;138.2;10;0.1782
168;[FAILED];Runway Excursion (10.0m);1.76;74.2;9;0.1736
169;[FAILED];Runway Excursion (10.0m);1.22;101.6;10;0.1680
170;[FAILED];Runway Excursion (10.1m);1.38;87.7;10;0.4383
171;[FAILED];Runway Excursion (10.1m);1.54;85.9;10;0.4256
172;[FAILED];Runway Excursion (10.1m);0.83;101.1;12;0.4113
173;[FAILED];Timeout;3.58;156.5;983;0.3785
174;[FAILED];Course lost (Heading);5.43;127.3;610;0.3561
175;[FAILED];Runway Excursion (20.0m);1.37;173.0;14;0.3361
176;[FAILED];Runway Excursion (10.1m);0.60;120.6;9;0.3228
177;[FAILED];Runway Excursion (10.0m);1.02;157.2;9;0.3068
178;[FAILED];Runway Excursion (10.1m);0.42;139.5;9;0.2932
179;[FAILED];Runway Excursion (20.0m);1.12;184.2;12;0.2754
180;[FAILED];Timeout;2.02;196.1;839;0.2537
181;[FAILED];Runway Excursion (8.0m);0.91;113.5;9;0.2445
182;[FAILED];Runway Excursion (8.1m);1.02;98.1;9;0.2364
183;[FAILED];Timeout;0.54;144.1;1389;0.2180
184;[FAILED];Runway Excursion (12.1m);0.52;198.6;14;0.2040
185;[FAILED];Runway Excursion (8.0m);1.76;83.5;9;0.1982
186;[FAILED];Runway Excursion (8.0m);1.41;73.9;9;0.1928
187;[FAILED];Runway Excursion (8.1m);1.28;89.7;9;0.1872
188;[FAILED];Runway Excursion (8.0m);1.11;87.8;9;0.1817
189;[FAILED];Runway Excursion (8.0m);1.42;74.7;9;0.1768
190;[FAILED];Stagnation (No speed increase);0.72;202.4;10;0.4254
191;[FAILED];Runway Excursion (14.3m);0.53;146.1;11;0.4053
192;[FAILED];Runway Excursion (8.1m);1.28;141.1;10;0.3868
193;[FAILED];Runway Excursion (9.5m);0.64;167.3;12;0.3658
194;[FAILED];Runway Excursion (8.4m);1.38;141.4;9;0.3495
195;[FAILED];Runway Excursion (8.1m);2.69;81.6;9;0.3397
196;[FAILED];Runway Excursion (8.1m);1.52;61.9;9;0.3313
197;[FAILED];Runway Excursion (8.2m);1.15;144.0;9;0.3164
198;[FAILED];Runway Excursion (8.4m);1.61;137.7;9;0.3028
199;[FAILED];Crashed / Too low;0.00;0.0;0;0.3021
200;[FAILED];Stagnation (No speed increase);6.00;0.0;9;0.2977
201;[FAILED];Stagnation (No speed increase);6.00;0.0;9;0.2934
202;[FAILED];Stagnation (No speed increase);10.93;0.5;9;0.2736
203;[FAILED];Runway Excursion (8.1m);1.31;70.3;9;0.2665
204;[FAILED];Runway Excursion (12.0m);1.74;216.7;15;0.2458
205;[FAILED];Crashed / Too low;0.00;0.0;0;0.2453
206;[FAILED];Crashed / Too low;0.00;0.0;0;0.2448
207;[FAILED];Crashed / Too low;0.00;0.0;0;0.2443
208;[FAILED];Timeout;3.68;126.4;1851;0.2251
209;[FAILED];Runway Excursion (8.0m);4.58;38.0;9;0.2208
210;[FAILED];Runway Excursion (7.0m);1.27;100.3;11;0.2132
211;[FAILED];Runway Excursion (7.1m);1.10;94.0;9;0.2065
212;[FAILED];Runway Excursion (7.1m);1.41;71.7;9;0.2010
213;[FAILED];Runway Excursion (7.0m);1.12;91.2;9;0.1950
214;[FAILED];Runway Excursion (7.1m);1.19;79.4;9;0.1897
215;[FAILED];Runway Excursion (7.1m);1.03;95.9;9;0.1838
216;[FAILED];Runway Excursion (7.1m);1.36;70.3;9;0.1790
217;[FAILED];Runway Excursion (7.1m);1.20;80.0;9;0.1741
218;[FAILED];Runway Excursion (7.0m);1.42;70.0;9;0.4403
219;[FAILED];Runway Excursion (7.2m);1.03;97.4;9;0.4260
220;[FAILED];Timeout;0.80;117.8;1938;0.3921
221;[FAILED];Runway Excursion (7.0m);1.20;77.3;9;0.3808
222;[FAILED];Runway Excursion (7.0m);0.75;129.0;9;0.3656
223;[FAILED];Runway Excursion (7.0m);1.19;83.7;9;0.3547
224;[FAILED];Runway Excursion (7.0m);0.96;113.4;9;0.3416
225;[FAILED];Runway Excursion (7.1m);1.05;92.2;9;0.3311
226;[FAILED];Runway Excursion (7.0m);1.25;81.7;9;0.3214
227;[FAILED];Runway Excursion (7.1m);0.99;106.8;9;0.3105
228;[FAILED];Runway Excursion (7.1m);0.82;124.3;9;0.2983
229;[FAILED];Timeout;1.96;115.9;1590;0.2748
230;[FAILED];Timeout;0.84;109.1;1779;0.2532
